Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Fayaz, Muhammad; Ahmad, Shabir; Ullah, Israr; Kim, DoHyeun; ",A blended risk index modeling and visualization based on hierarchical fuzzy logic for water supply pipelines assessment and management,Processes,6,5,61,2018,MDPI
"Jin, Wenquan; Ullah, Israr; Ahmad, Shabir; Kim, Dohyeun; ",Occupant comfort management based on energy optimization using an environment prediction model in smart homes,Sustainability,11,4,997,2019,MDPI
"Mehmood, Faisal; Ullah, Israr; Ahmad, Shabir; Kim, DoHyeun; ",Object detection mechanism based on deep learning algorithm using embedded IoT devices for smart home appliances control in CoT,Journal of Ambient Intelligence and Humanized Computing,,,1-17,2019,Springer Berlin Heidelberg
"Malik, Sehrish; Ahmad, Shabir; Kim, Bong Wan; Park, Dong Hwan; Kim, DoHyeun; ",Hybrid inference based scheduling mechanism for efficient real time task and resource management in smart cars for safe driving,Electronics,8,3,344,2019,MDPI
"Fayaz, Muhammad; Ahmad, Shabir; Hang, Lei; Kim, DoHyeun; ",Water supply pipeline risk index assessment based on cohesive hierarchical fuzzy inference system,Processes,7,4,182,2019,MDPI
"Malik, Sehrish; Ahmad, Shabir; Ullah, Israr; Park, Dong Hwan; Kim, DoHyeun; ",An adaptive emergency first intelligent scheduling algorithm for efficient task management and scheduling in hybrid of hard real-time and soft real-time embedded IoT systems,Sustainability,11,8,2192,2019,MDPI
"Mehmood, Faisal; Ahmad, Shabir; Kim, DoHyeun; ",Design and development of a real-time optimal route recommendation system using big data for tourists in Jeju Island,Electronics,8,5,506,2019,MDPI
"Malik, Sehrish; Ahmad, Shabir; Kim, DoHyeun; ",A novel approach of IoT services orchestration based on multiple sensor and actuator platforms using virtual objects in online IoT app-store,Sustainability,11,20,5859,2019,MDPI
"Mehmood, Faisal; Ahmad, Shabir; Kim, DoHyeun; ",Design and implementation of an interworking IoT platform and marketplace in cloud of things,Sustainability,11,21,5952,2019,MDPI
"Imran; Ahmad, Shabir; Kim, DoHyeun; ",Design and implementation of thermal comfort system based on tasks allocation mechanism in smart homes,Sustainability,11,20,5849,2019,MDPI
"Mehmood, Faisal; Ullah, Israr; Ahmad, Shabir; Kim, Do-Hyeun; ",A novel approach towards the design and implementation of virtual network based on controller in future iot applications,Electronics,9,4,604,2020,MDPI
"Mehmood, Faisal; Ahmad, Shabir; Kim, DoHyeun; ",Design and implementation of automation appliances control based on MVC model using distributed MQTT broker in CoT networks,International Journal of Innovative Technology and Exploring Engineering,8,3C,262-269,2019,Blue Eyes Intelligence Engineering & Sciences Publication
"Jamil, Faisal; Ahmad, Shabir; Iqbal, Naeem; Kim, Do-Hyeun; ",Towards a remote monitoring of patient vital signs based on IoT-based blockchain integrity management platforms in smart hospitals,Sensors,20,8,2195,2020,MDPI
"Iqbal, Naeem; Jamil, Faisal; Ahmad, Shabir; Kim, Dohyeun; ",Toward effective planning and management using predictive analytics based on rental book data of academic libraries,Ieee Access,8,,81978-81996,2020,IEEE
